회사명,종목코드,업종,주요제품
젬백스,082270,특수 목적용 기계 제조업,"ChemicalAirFilter,GasScrubber"
플랜티넷,075130,"컴퓨터 프로그래밍, 시스템 통합 및 관리업",유해사이트차단서비스
에스제이케이,080440,자동차 부품 제조업,"자동차부품, 키보드 등"
이노와이어리스,073490,통신 및 방송 장비 제조업,통신용 시험 및 계측장비
인베니아,079950,특수 목적용 기계 제조업,"Dry Etcher, 진공합착기, LCD Panel 검사장비, OLED용 진공합착기, MOCVD"
동양이엔피,079960,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업","휴대폰용,OA기기및통신장비용,디지털가전용전원공급장치"
제주반도체,080220,반도체 제조업,"모바일용 LP DDR SDRAM, CRAM, SRAM"
한창산업,079170,1차 비철금속 제조업,"아연말,리튬브로마이드,산화망간,인산아연"
디이엔티,079810,특수 목적용 기계 제조업,FPD공정검사장비
에스엔유,080000,특수 목적용 기계 제조업,"OLED증착장비, OLED봉지장비, LCD검사장비 등"
iMBC,052220,"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개서비스업","디지털콘텐츠,웹에이젼시"
서산,079650,"시멘트, 석회, 플라스터 및 그 제품 제조업","레미콘,전주,고강도파일,흄관"
KMH하이텍,052900,플라스틱제품 제조업,TRAY(반도체Packing재료)
손오공,066910,"인형,장난감 및 오락용품 제조업","완구,게임,캐릭터수입수수료"
미래컴퍼니,049950,특수 목적용 기계 제조업,EdgeGrinder
아이크래프트,052460,"컴퓨터 프로그래밍, 시스템 통합 및 관리업","인터넷핵심망(CCR,MCR,NAS등)"
메가스터디,072870,"서적, 잡지 및 기타 인쇄물 출판업","온라인강의,교재판매"
케이에스피,073010,일반 목적용 기계 제조업,"선박용엔진밸브,형단조품"
KG모빌리언스,046440,소프트웨어 개발 및 공급업,유무선전화결제서비스
대주전자재료,078600,전자부품 제조업,PDP격벽재료등
텔레칩스,054450,반도체 제조업,"디지털미디어프로세서,발신자정보표시칩"
HB테크놀러지,078150,특수 목적용 기계 제조업,TFT-LCD검사장비
도이치모터스,067990,자동차 판매업,"자동공구교환기,가공전용기"
토비스,051360,영상 및 음향기기 제조업,Gaming모니터
태양씨앤엘,072520,전자부품 제조업,휴대폰윈도우
국일제지,078130,기타 종이 및 판지 제품 제조업,"산업용 및 가정용 지류(강판간지, 다공지 등)"
DMS,068790,특수 목적용 기계 제조업,LCD 제조장비
일경산업개발,078940,전기 및 통신 공사업,엘리베이터 레일
코아로직,048870,반도체 제조업,카메라 어플리케이션 프로세서(CAP)
신성델타테크,065350,가정용 기기 제조업,"세탁기, 자동차, 에어컨 및 LCD 부품"
한국경제TV,039340,텔레비전 방송업,"광고수입, 협찬수입"
다날,064260,소프트웨어 개발 및 공급업,모바일콘텐츠 및 유무선전화결제
형지I&C,011080,봉제의복 제조업,남성셔츠
휘닉스소재,050090,전자부품 제조업,"Metal Paste, Solder Ball"
코엔텍,029960,폐기물 처리업,산업폐기물 소각/매립처리
와이비엠넷,057030,교육지원 서비스업,"온라인교육, 수수료수입 등"
CS,065770,통신 및 방송 장비 제조업,"이동통신중계기, 위성방송(DMB)중계기(Gap-Filler)"
아미노로직스,074430,기타 전문 도매업,DVR용 영상처리 칩
한컴지엠디,077280,소프트웨어 개발 및 공급업,TFT-LCD용 ASIC
테라젠이텍스,066700,의약품 제조업,"Loading/Unloading System, PCB Bonding System"
디에이피,066900,전자부품 제조업,Build-Up PCB(인쇄회로기판)
한양디지텍,078350,반도체 제조업,메모리 모듈
동국알앤에스,075970,기타 비금속 광물제품 제조업,"내화물, 페라이트, 세라믹"
라이트론,069540,통신 및 방송 장비 제조업,"광가입자용 광송수신모듈, CATV/이동통신용 광부품"
디비케이,073190,가구 제조업,사무용 및 가정용 의자
삼진엘앤디,054090,전자부품 제조업,"몰드프레임, TFT-LCD BLU"
에스텍파마,041910,의약품 제조업,원료의약품
넥센테크,073070,자동차 부품 제조업,자동차용 와이어링 하네스
스포츠서울,039670,"서적, 잡지 및 기타 인쇄물 출판업",신문사업(스포츠ㆍ연예 전문 일간지)
세진티에스,067770,전자부품 제조업,TFT-LCD용 광기능성 시트
한솔인티큐브,070590,"컴퓨터 프로그래밍, 시스템 통합 및 관리업",기업통신 및 무선인터넷
삼원테크,073640,기타 금속가공제품 제조업,유압용 관이음쇠
에이티테크놀러지,073570,특수 목적용 기계 제조업,Wafer Burn In Test 장비
우주일렉트로,065680,전자부품 제조업,정보통신용 초정밀커넥터
토필드,057880,영상 및 음향기기 제조업,셋톱박스(디지털위성방송수신기)
아이리버,060570,영상 및 음향기기 제조업,휴대용 MP3 Player
아프리카TV,067160,소프트웨어 개발 및 공급업,미디어플랫폼
투윈글로벌,066410,"영화, 비디오물, 방송프로그램 제작 및 배급업",DVD타이틀
원익QnC,074600,유리 및 유리제품 제조업,석영유리가공제품
로체시스템즈,071280,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",LCD 제조용 이송장비
에버다임,041440,특수 목적용 기계 제조업,"콘크리트펌프트럭, 중장비개량사업"
에스텍,069510,영상 및 음향기기 제조업,스피커 및 스피커시스템
오텍,067170,자동차 차체 및 트레일러 제조업,"냉동 및 내장탑차, 앰블란스"
키이스트,054780,"영화, 비디오물, 방송프로그램 제작 및 배급업",멀티미디어 SI
중앙백신,072020,기초 의약물질 및 생물학적 제제 제조업,동물용백신
휴비츠,065510,의료용 기기 제조업,"자동검안기, 자동렌즈미터"
우리산업홀딩스,072470,자동차 부품 제조업,HVAC ACTUATOR (자동차 공조장치 부품 등)
디지털대성,068930,일반 교습 학원,대성N스쿨 (교육 프랜차이즈)
코스온,069110,기타 화학제품 제조업,화장품
유아이디,069330,전자부품 제조업,STN LCD GLASS(연마)
티씨케이,064760,기타 비금속 광물제품 제조업,반도체 제조공정용 고순도 흑연제품
아모텍,052710,전자부품 제조업,"칩바리스터, 아몰퍼스코어"
웰크론,065950,직물직조 및 직물제품 제조업,"기능성 침구용품, 크리너, 필터, 방탄·방검복"
파워로직스,047310,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",휴대폰 배터리 등 2차전지용 보호회로
신스타임즈,056000,소프트웨어 개발 및 공급업,MP3 Player
이라이콤,041520,전자부품 제조업,TFT-LCD용 Back Light Unit
큐브스,065560,기타 전문 도매업,지리정보 소프트웨어
홈캐스트,064240,영상 및 음향기기 제조업,디지털 셋톱박스
씨씨에스,066790,텔레비전 방송업,케이블TV서비스 및 초고속인터넷서비스
웹젠,069080,소프트웨어 개발 및 공급업,3D 온라인게임 '뮤(MU)'
대화제약,067080,의약품 제조업,"후로스판, 세파메칠 등"
우수AMS,066590,자동차 부품 제조업,"엔진, 조향 및 기아변속기 부품"
JW신약,067290,의약품 제조업,"매니큐어세트, 손톱깎이"
하츠,066130,가정용 기기 제조업,"레인지후드, 빌트인 기기 등"
SBS콘텐츠허브,046140,"영화, 비디오물, 방송프로그램 제작 및 배급업","컨텐츠, 프로젝트"
빅텍,065450,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외",전자전시스템 장치류
탑엔지니어링,065130,특수 목적용 기계 제조업,LCD Cell Line 자동화 장치
이루온,065440,소프트웨어 개발 및 공급업,이동통신 핵심망 및 서비스망 솔루션 개발 공급
재영솔루텍,049630,"안경, 사진장비 및 기타 광학기기 제조업",플라스틱 사출금형
한국큐빅,021650,플라스틱제품 제조업,Curl Fit(표면처리사업)
인터플렉스,051370,전자부품 제조업,연성회로기판(Flexible PCB)
메디프론,065650,기계장비 및 관련 물품 도매업,음반재킷 제작
삼영이엔씨,065570,통신 및 방송 장비 제조업,"GMDSS장비, GPS플로터 등"
브레인콘텐츠,066980,기타 정보 서비스업,TFT-LCD용 광기능성 필름
리더스코스메틱,016100,기타 화학제품 제조업,화장품
바이오빌,065940,기초화학물질 제조업,"착색제, 잉크 등"
케이피엠테크,042040,기타 화학제품 제조업,"표면처리약품, 전자동 도금설비"
엘앤에프,066970,일차전지 및 축전지 제조업,TFT-LCD BLU(Back Light Unit)
디스플레이텍,066670,전자부품 제조업,LCD Module
와이오엠,066430,기타 전문 도매업,"VCI,LDPE필름 외"
초록뱀,047820,"영화, 비디오물, 방송프로그램 제작 및 배급업",방송프로그램 제작 및 공급
한양하이타오,064090,통신 및 방송 장비 제조업,CCTV CAMERA 등
쎌바이오텍,049960,기초 의약물질 및 생물학적 제제 제조업,유산균 원말 및 완제품
능률교육,053290,"서적, 잡지 및 기타 인쇄물 출판업",영어학습교재
바른전자,064520,반도체 제조업,"메모리 카드, 스마트 카드 등"
KG이니시스,035600,소프트웨어 개발 및 공급업,전자지불서비스
넥스트BT,065170,음·식료품 및 담배 도매업,건강보조식품 등
파라다이스,034230,유원지 및 기타 오락관련 서비스업,카지노
젬백스테크놀러지,041590,전자부품 제조업,액정표시장치(모듈)
새로닉스,042600,전자부품 제조업,"광학시트, FFC"
오리엔트정공,065500,자동차 부품 제조업,"하우징, 리테이너베어링"
퍼시픽바이오,060900,석유 정제품 제조업,석유 정제품 제조업
국보디자인,066620,실내건축 및 건축마무리 공사업,인테리어디자인
에스아이리소스,065420,석탄 광업,자카드직물
와이디온라인,052770,소프트웨어 개발 및 공급업,e-Business Solution & Service
필링크,064800,"컴퓨터 프로그래밍, 시스템 통합 및 관리업",Wap Gateway
리노스,039980,"섬유, 의복, 신발 및 가죽제품 소매업","TRS통신, Kipling Bag외"
현대아이비티,048410,컴퓨터 및 주변장치 제조업,"LCD모니터, 디지털 사이니지, 바이오 양모제"
에프티이앤이,065160,화학섬유 제조업,빙축열냉방시스템
에스피지,058610,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",소형 Geared Motor
토탈소프트,045340,소프트웨어 개발 및 공급업,해운물류소프트웨어 (CATOS 등)
대진디엠피,065690,고무제품 제조업,고무 및 플라스틱제품 제조업
서호전기,065710,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",항만크레인 구동전기장치
한프,066110,컴퓨터 및 주변장치 제조업,OPC Drum
서울리거,043710,그외 기타 제품 제조업,모바일 주변 기기류
홈센타홀딩스,060560,"시멘트, 석회, 플라스터 및 그 제품 제조업","건축자재,레미콘"
아비코전자,036010,통신 및 방송 장비 제조업,"전자저항기, 전자인덕터"
큐렉소,060280,기타 상품 전문 소매업,"만화단행본, 정기간행물"
제낙스,065620,1차 철강 제조업,"2차전지,금속섬유,스테인레스 와이어"
이그잭스,060230,전자부품 제조업,화학제품 및 전자재료
옴니텔,057680,소프트웨어 개발 및 공급업,"모바일방송, 모바일컨텐츠"
우원개발,046940,기반조성 및 시설물 축조관련 전문공사업,토공사
인선이엔티,060150,폐기물 처리업,건축폐기물처리
전파기지국,065530,전기통신업,공용기지국건설/관리
에프엔씨애드컬쳐,063440,기록매체 복제업,"추첨식복권 제조, 일반출판 인쇄, CD ·DVD 복제"
지어소프트,051160,소프트웨어 개발 및 공급업,"Mobile Solution & Platform, Internet GIS, Mobile Service"
지엔코,065060,봉제의복 제조업,"캐쥬얼의류(SPORT-REPLAY, Thursday Island)"
셀루메드,049180,기초 의약물질 및 생물학적 제제 제조업,"의료기기, 바이오시밀러 및 헬스케어사업"
KH바텍,060720,전자부품 제조업,"휴대폰부품(SHIELD, BRACKET)"
알에프텍,061040,통신 및 방송 장비 제조업,"핸드폰 충전기, 핸즈프리"
에스폴리텍,050760,플라스틱제품 제조업,유무선 통신용 소프트웨어
이랜텍,054210,전자부품 제조업,Battery Pack
라이브플렉스,050120,가정용품 도매업,"텐트, 원 ·부자재"
케이피티,054410,기타 금속가공제품 제조업,"Vacuum Treatment, Plasma Surface Treatment"
3S,060310,전자부품 제조업,반도체 웨이퍼 캐리어
화일약품,061250,의약품 제조업,의약품 원료
한진피앤씨,061460,플라스틱제품 제조업,"통기성필름, 판지상자인쇄"
오상자이엘,053980,"컴퓨터 프로그래밍, 시스템 통합 및 관리업",CATIA Solution
농우바이오,054050,작물 재배업,"고추, 수박, 참외(메론), 오이, 호박, 무, 배추 등"
케이엘넷,039420,전기통신업,EC/EDI
에스티아이,039440,특수 목적용 기계 제조업,"Chemical 중앙공급시스템(C.C.S.S), 세정·식각시스템"
잉크테크,049550,기타 화학제품 제조업,"잉크젯 프린터용 잉크카트리지, 재충전 잉크"
대한뉴팜,054670,의약품 제조업,"동물약품, 인체약품, 유아용품"
씨티씨바이오,060590,가정용품 도매업,"동물용항병원성제품, 생균효소제"
인탑스,049070,통신 및 방송 장비 제조업,휴대전화기용부품
KT서브마린,060370,전기 및 통신 공사업,해저케이블등의 건설 및 유지보수 업무
피씨디렉트,051380,기계장비 및 관련 물품 도매업,"스토리지(HDD), 프로세서(CPU), Memory, Monitor등"
현진소재,053660,기타 금속가공제품 제조업,선박용 엔진부품
구영테크,053270,자동차 부품 제조업,엔진 브라켓(Engine Bracket) 등
한국기업평가,034950,기타 사업지원 서비스업,"신용평가, 컨설팅, 위험관리솔루션"
뉴보텍,060260,플라스틱제품 제조업,"고강성 PVC DC, HDPE 등"
동양에스텍,060380,1차 철강 제조업,"열연박판, 열연후판, 무늬강판"
백금T&A,046310,통신 및 방송 장비 제조업,레이더디텍터
크레아플래닛,058530,특수 목적용 기계 제조업,"PCB생산 장비 제조(로더, 언로더, 레이업시스템 등)"
고려신용정보,049720,기타 사업지원 서비스업,"채권추심, 신용조사"
제일바이오,052670,의약품 제조업,동물사료첨가제
서울반도체,046890,반도체 제조업,"Display, Chip LED, Lamp"
아가방컴퍼니,013990,가정용품 도매업,유아용 의류 및 용품
일야,058450,통신 및 방송 장비 제조업,"컴퓨터, 복사기 등의 부품"
미코,059090,반도체 제조업,반도체 및 디스플레이 부품 제조
에스아이티글로벌,050320,기계장비 및 관련 물품 도매업,"중대형 서버, 시스템 S/W"
유신,054930,"건축기술, 엔지니어링 및 관련기술 서비스업",토목설계 및 감리
프럼파스트,035200,플라스틱제품 제조업,주택건설용 플라스틱 배관
한국컴퓨터,054040,전자부품 제조업,LCD Module용 부품
대동스틸,048470,1차 철강 제조업,"열연박판, 후판, 무늬강판 외"
레드로버,060300,"영화, 비디오물, 방송프로그램 제작 및 배급업","콘텐츠제작, 4D 시네마 시스템 및 영상관 구축, 3D융합, 3D HW, 3D SW, VR"
링네트,042500,"컴퓨터 프로그래밍, 시스템 통합 및 관리업",네트워크 구축(Network Integration)
엔알케이,054340,통신 및 방송 장비 제조업,이동전화단말기 케이스
제이웨이,058420,"영화, 비디오물, 방송프로그램 제작 및 배급업","VOD서비스, 대리운전프로그램"
큐로컴,040350,"컴퓨터 프로그래밍, 시스템 통합 및 관리업","시스템통합, 지능형교통시스템"
팬스타엔터프라이즈,054300,일반 목적용 기계 제조업,자동차 정비용 리프트
한빛소프트,047080,소프트웨어 개발 및 공급업,"게임(스타크래프트 등), 교육, 솔루션"
NHN한국사이버결제,060250,기타 정보 서비스업,전자결제서비스업
금강철강,053260,1차 철강 제조업,"냉연압연강판, 산세코일"
룽투코리아,060240,소프트웨어 개발 및 공급업,"CTI 콜센타, VoiceGood, WIN-CARD"
포스링크,056730,기타 전문 도매업,"석탄도매,통신공사외"
SKC 솔믹스,057500,전자부품 제조업,반도체용 파인세라믹제품
동아화성,041930,고무제품 제조업,자동차용 고무부품
비츠로시스,054220,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업","원방감시제어시스템, 분산제어시스템"
오리엔탈정공,014940,선박 및 보트 건조업,"조선해양구조물 및 조선해양기계품 제작,"
크로바하이텍,043590,반도체 제조업,"트랜스포머, 코일"
리노공업,058470,전자부품 제조업,"리노핀, 반도체 소켓 등"
성우테크론,045300,전자부품 제조업,"리드프레임가공, 반도체 장비"
에스에프에이,056190,특수 목적용 기계 제조업,"반도체, Display 제조설비 및 공장자동화기기"
신화인터텍,056700,플라스틱제품 제조업,디스플레이 BLU용 광학필름
엑사이엔씨,054940,실내건축 및 건축마무리 공사업,고주파고압변성기(FBT : Flyback Transformer)
평화정공,043370,자동차 부품 제조업,"자동차용 도어랫치, 도어힌지"
APS홀딩스,054620,특수 목적용 기계 제조업,인터넷 트래픽 솔루션
코위버,056360,통신 및 방송 장비 제조업,"가입가계 가입자계 광단국장치,SONs-51,OMS-155M,OCSU,E2 가입자 전송장비,SDS-2500 등"
성호전자,043260,전자부품 제조업,필름 콘덴서
리젠,038340,일차전지 및 축전지 제조업,"유류도소매,캐패시터,마스크팩"
레이젠,047440,전자부품 제조업,"BLU, LGP"
YW,051390,상품 종합 도매업,"이동통신중계시스템, 데이터네트웍장비, 광전송 장비"
삼영엠텍,054540,"구조용 금속제품, 탱크 및 증기발생기 제조업","구조용 특수장치, 교량부품"
이니텍,053350,소프트웨어 개발 및 공급업,정보보안 및 인증솔루션
에이디칩스,054630,기계장비 및 관련 물품 도매업,비메모리 반도체칩
유진로봇,056080,특수 목적용 기계 제조업,"청소로봇, 완구류외"
태웅,044490,기타 금속가공제품 제조업,자유형단조품
경남제약,053950,의약품 제조업,PCB 드릴가공
삼보모터스,053700,자동차 부품 제조업,증명서 자동발급기
포스코켐텍,003670,"시멘트, 석회, 플라스터 및 그 제품 제조업","염기성내화물, 협력작업수입"
한컴시큐어,054920,소프트웨어 개발 및 공급업,전자상거래 보안 솔루션
코미팜,041960,의약품 제조업,동물약품
프리엠스,053160,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업","건설기계용 전장, 네트워크 상품"
썬코어,051170,일반 목적용 기계 제조업,"오일레스베어링, 금형부품"
코나아이,052400,소프트웨어 개발 및 공급업,"전자화폐, 단말기, 수집/정산시스템"
중앙오션,054180,선박 및 보트 건조업,XML/SGML 관련 제품 및 솔루션
SGA,049470,소프트웨어 개발 및 공급업,"산업용컴퓨터 제조, 판매"
지에스이,053050,가스 제조 및 배관공급업,eBusiness 통합
팜스웰바이오,043090,기타 전문 도매업,"바이오리엑터(Bioreactor, 생물반응기)"
소리바다,053110,"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개서비스업",수도용 및 원예용 상토
아이디스홀딩스,054800,"회사본부, 지주회사 및 경영컨설팅 서비스업",비금융지주회사
코데즈컴바인,047770,봉제의복 제조업,패션의류
안랩,053800,소프트웨어 개발 및 공급업,바이러스백신 프로그램
YTN,040300,"영화, 비디오물, 방송프로그램 제작 및 배급업",광고/협찬 및 프로그램 제작
CMG제약,058820,의약품 제조업,의약품
JYP Ent.,035900,오디오물 출판 및 원판 녹음업,오디오물 출판 및 원판 녹음 관련 제품
한국테크놀로지,053590,특수 목적용 기계 제조업,신재생에너지관련장비
KCC건설,021320,건물 건설업,"토목 건축공사, 분양공사"
세동,053060,자동차 부품 제조업,"도어벨트, 몰딩"
프로텍,053610,특수 목적용 기계 제조업,"Dispenser, Tray Feeder, 공압실린더"
액토즈소프트,052790,소프트웨어 개발 및 공급업,온라인 게임 및 모바일 게임
세코닉스,053450,"안경, 사진장비 및 기타 광학기기 제조업","CCD렌즈, 광PICK-UP렌즈"
바이넥스,053030,의약품 제조업,"정장제, 소화제"
오성엘에스티,052420,플라스틱제품 제조업,"LCD Aging System, LCD 신뢰성 분석장비"
태양,053620,기타 금속가공제품 제조업,"휴대용 부탄가스, 외주수탁품"
W홀딩컴퍼니,052300,기타 운송관련 서비스업,운송
에임하이,043580,전자부품 제조업,트랜지스터
유아이엘,049520,전자부품 제조업,휴대전화기용 Keypad
넥스트바이오홀딩스,051980,통신 및 방송 장비 제조업,"PC게임, 무선인터넷게임"
대원미디어,048910,"영화, 비디오물, 방송프로그램 제작 및 배급업","캐릭터 사업, 만화영화 제작"
CJ프레시웨이,051500,음·식료품 및 담배 도매업,"식자재유통, 단체급식"
파인디앤씨,049120,전자부품 제조업,Lamp Reflector
디지아이,043360,컴퓨터 및 주변장치 제조업,"잉크젯 플로터, 커팅 플로터"
코텍,052330,영상 및 음향기기 제조업,"Touch Screen Monitor, 산업용 CRT Monitor"
한네트,052600,전기통신업,"현금서비스, 예금인출"
에스티큐브,052020,전자부품 제조업,"전자부품, 정보통신기기, 지능형로봇외"
에이치엘비파워,043220,상품 종합 도매업,"발전설비 Damper, 전력설비 Busway"
서화정보통신,033790,통신 및 방송 장비 제조업,무선통신시스템용 중계기
큐로홀딩스,051780,음·식료품 및 담배 도매업,"DTIS, Probe Card, H.F PCB"
이에스에이,052190,창작 및 예술관련 서비스업,게임소프트웨어(창세기전시리즈)
나라엠앤디,051490,특수 목적용 기계 제조업,"금형,사출 및 판금부품"
트레이스,052290,전자부품 제조업,미들웨어(엔테라)
에코바이오,038870,건물설비 설치 공사업,"판매시점정보시스템(POS), 금전등록기"
에이텍,045660,컴퓨터 및 주변장치 제조업,
SK바이오랜드,052260,기타 화학제품 제조업,"천연물질 추출물, 미생물 배양제품"
대아티아이,045390,소프트웨어 개발 및 공급업,"EDMS(Enterprise Document Management System)-전사적문서관리시스템,KMS-지식경영시스템"
캠시스,050110,전자부품 제조업,"IN-LINE SYSTEM,CSP HANDLER,TRIM/FORM SYSTEM"
SFA반도체,036540,반도체 제조업,"반도체패키지(SOP,DIP,QFP)"
삼표시멘트,038500,기타 비금속 광물제품 제조업,"시스템통합(SI), 네트워크장비"
SM C&C,048550,"영화, 비디오물, 방송프로그램 제작 및 배급업","영상콘텐츠 제작 및 매니지먼트, 여행"
승일,049830,기타 금속가공제품 제조업,"에어졸캔,에어졸발브"
조광ILI,044060,일반 목적용 기계 제조업,"안전밸브,스팀트랩"
피에스엠씨,024850,전자부품 제조업,리드프레임
TPC,048770,일반 목적용 기계 제조업,"구동기기(실린더), 방향제어기(밸브)"
코메론,049430,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외","줄자, 냉간압연"
로엔,016170,기록매체 복제업,"MC,CD"
삼화네트웍스,046390,"영화, 비디오물, 방송프로그램 제작 및 배급업","시스템통합(SI), 시스템유지(SM)"
성광벤드,014620,1차 철강 제조업,관이음쇠
유니더스,044480,고무제품 제조업,"콘돔,고무골무,의료용 장갑"
유라테크,048430,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업","점화코일, 스파크플러그"
삼현철강,017480,1차 철강 제조업,"후판,열연후판,산세판박,무늬강판,용단철강,형강외"
오픈베이스,049480,"컴퓨터 프로그래밍, 시스템 통합 및 관리업","트래픽솔루션(웹스위치,트래픽서버)"
KCI,036670,기타 화학제품 제조업,"폴리머,레진,계면활성제"
라온시큐어,042510,소프트웨어 개발 및 공급업,소프트웨어 개발 및 공급
오로라,039830,전문디자인업,"캐릭터디자인,캐릭터완구 등"
금화피에스시,036190,전기 및 통신 공사업,"설비,철물,전기,강구조물"
코다코,046070,자동차 부품 제조업,"Oil Pump, Throttle Body"
인바디,041830,의료용 기기 제조업,정밀 체성분 분석기
고려제약,014570,의약품 제조업,"하벤(종합감기약),뉴로메드(치매치료제)등 70여종"
크린앤사이언스,045520,"펄프, 종이 및 판지 제조업",자동차용 여과지
포스코 ICT,022100,"건축기술, 엔지니어링 및 관련기술 서비스업","SI(System Integration), DVR(Digital Video Recorder)"
이젠텍,033600,자동차 부품 제조업,김치냉장고부품
KD건설,044180,건물 건설업,몰드베이스(Mold Base)
이-글 벳,044960,기타 전문 도매업,"아바텍,아목사실린사 등"
아즈텍WB,032080,"섬유제품 염색, 정리 및 마무리 가공업",직물
오리콤,010470,광고업,광고대행
위닉스,044340,가정용 기기 제조업,일반목적용 기계제조업
르네코,042940,전기 및 통신 공사업,"정보통신망 구축, DVR, ITS, 기타방송장비 등"
엔피케이,048830,합성고무 및 플라스틱 물질 제조업,합성고무 및 플라스틱물질 제조업
삼천당제약,000250,의약품 제조업,"세프메타졸, 파클캅셀, 네틸마이신"
에이치케이,044780,특수 목적용 기계 제조업,레이저가공 절단기
정원엔시스,045510,"컴퓨터 프로그래밍, 시스템 통합 및 관리업","SI(시스템통합) 관련 소프트웨어, 중.대형 고속 레이져 프린터"
한양이엔지,045100,"건축기술, 엔지니어링 및 관련기술 서비스업",반도체배관설비
누리텔레콤,040160,소프트웨어 개발 및 공급업,"NASCenter2000(전산자원통합관리시스템),PowerAMR(자동원격검침장치)"
에쎈테크,043340,일반 목적용 기계 제조업,LPG밸브
국순당,043650,알콜음료 제조업,탁주 및 약주
엘컴텍,037950,전자부품 제조업,"BLU(Back Light Unit), CCM(Compact Camera Module), Display용 EL"
이오테크닉스,039030,특수 목적용 기계 제조업,레이저 마커 및 레이저 응용기기
서울제약,018680,의약품 제조업,"정제,연질캅셀제,경질캅셀제,연고 및 크림제 등"
텍셀네트컴,038540,"컴퓨터 프로그래밍, 시스템 통합 및 관리업",전자계전기(RELAY)
나노엔텍,039860,의료용 기기 제조업,의료기기 및 실험기기
파나진,046210,의료용품 및 기타 의약관련제품 제조업,의료용품및 기타 의약관련 제품 제조업
오공,045060,기타 화학제품 제조업,"접착제,씰란트,광택제,연마제"
솔고바이오,043100,의료용 기기 제조업,"가정용 온열치료기,의료기구"
현대정보기술,026180,"컴퓨터 프로그래밍, 시스템 통합 및 관리업",시스템통합(SI) 및 운영(SM)
비츠로테크,042370,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업","차단기, 개폐기"
코아시아홀딩스,045970,"회사본부, 지주회사 및 경영컨설팅 서비스업",디지털 컨텐츠 저작솔루션 판매 사업
정상제이엘에스,040420,일반 교습 학원,어학교육업
진양제약,007370,의약품 제조업,"소부날, 옥티란"
넥슨지티,041140,소프트웨어 개발 및 공급업,게임소프트웨어개발 공급
위노바,039790,기타 화학제품 제조업,"전자파장해 대책부품(쉴드폼, 디스펜싱개스켓 등)"
지니뮤직,043610,"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개서비스업",유무선 음악포털서비스
진성티이씨,036890,특수 목적용 기계 제조업,트랙롤라. 플로팅 씰
현대통신,039010,통신 및 방송 장비 제조업,홈오토메이션 제조
삼아제약,009300,의약품 제조업,"노마에프, 아토크건조시럽, 코데날정, 코코시럽, 스마엘"
파루,043200,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업","온습도 조절기(에어쿨), 무인방제기(야호)"
에스씨디,042110,가정용 기기 제조업,전자렌지용 MOTOR 및 냉장고용 TIMER
한국정보공학,039740,기타 전문 도매업,"그룹웨어, 자료관리시스템"
디오,039840,의료용 기기 제조업,자동포장기계
네오위즈홀딩스,042420,"회사본부, 지주회사 및 경영컨설팅 서비스업",지주사업
다산네트웍스,039560,통신 및 방송 장비 제조업,네트워크 통신장비
바이오스마트,038460,전자부품 제조업,"M/S 카드제조업, IC 카드제조, 카드장비판매"
우리기술,032820,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업","시스템사업, 정보통신사업"
폭스브레인,039230,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외","반도체 검사장비, TFT-LCD 검사장치& 검사장비"
안국약품,001540,의약품 제조업,"그랑파제, 토비콤-S"
골드퍼시픽,038530,가정용품 도매업,"주문형반도체, IMT-2000 Modem Chip 등"
세중,039310,여행사 및 기타 여행보조 서비스업,나모웹에디터
우리기술투자,041190,기타 금융업,창업자에 대한 투자 및 융자
HRS,036640,합성고무 및 플라스틱 물질 제조업,실리콘 컴파운드제품 제조
에스에이엠티,031330,기계장비 및 관련 물품 도매업,"반도체(메모리,비메모리), CPU, TFT-LCD, 네트웍 장비, PC 및 주변기기, 이동통신수탁사업"
NICE평가정보,030190,기타 정보 서비스업,"개인 및 기업정보,솔루션"
위즈코프,038620,연료 소매업,인터넷 인프라 및 응용
이건홀딩스,039020,"구조용 금속제품, 탱크 및 증기발생기 제조업",창호
파인디지털,038950,통신 및 방송 장비 제조업,"원격 RF 감시장치, 디지털 광 중계기, 노드분배기"
나이스정보통신,036800,전기통신업,카드 VAN사업
SG&G,040610,자동차 부품 제조업,생활정보신문
아이에이,038880,전자부품 제조업,자동차용 반도체
