회사명,종목코드,업종,주요제품
뉴트리바이오텍,222040,기타 식품 제조업,건강기능식품
예스티,122640,특수 목적용 기계 제조업,반도체 및 디스플레이 제조 장비
하나금융7호SPAC,230240,금융지원 서비스업,기업인수합병
멕아이씨에스,058110,의료용 기기 제조업,인공호흡기
엔에스,217820,특수 목적용 기계 제조업,2차전지 자동화 설비
미래테크놀로지,213090,소프트웨어 개발 및 공급업,OTP
하이즈항공,221840,"항공기,우주선 및 부품 제조업",B787 날개구조물 등
리드,197210,특수 목적용 기계 제조업,"LCD 장비(In-Line System, TCU, TRU)"
엠지메드,180400,기타 과학기술 서비스업,BAC DNA CHIP
매직마이크로,127160,전자부품 제조업,"LED 리드프레임, LED PKG"
케이디켐,221980,기타 화학제품 제조업,PVC 안정제
골든브릿지제4호스팩,227950,금융지원 서비스업,기업인수 및 합병
네오오토,212560,자동차 부품 제조업,"피니언 기어, 디프 어셈블리, 대형기어"
케어젠,214370,기초 의약물질 및 생물학적 제제 제조업,"성장인자, 바이오미메틱펩타이드 기반 안면, 두피, 바디 코스메슈티컬 제품"
아이진,185490,자연과학 및 공학 연구개발업,"당뇨성망막병증 치료제, 욕창치료제, 자궁경부암 예방 백신 등"
나무가,190510,전자부품 제조업,"스마트폰 카메라모듈, 노트북 카메라모듈"
유앤아이,056090,의료용 기기 제조업,정형외과용 신체보정용 의료기기
에이치엠씨3호스팩,226340,금융지원 서비스업,기업인수합병
더블유게임즈,192080,소프트웨어 개발 및 공급업,온라인·모바일 게임(더블유카지노)
연우,115960,플라스틱제품 제조업,화장품 용기
키움스팩4호,226850,금융지원 서비스업,기업인수합병
에이티젠,182400,기초 의약물질 및 생물학적 제제 제조업,"연구용 시약, NK Vue KIT"
엑시콘,092870,특수 목적용 기계 제조업,반도체 검사장비
케이비드림4호스팩,226360,금융지원 서비스업,기업인수합병
이베스트스팩3호,225440,기타 금융업,
에치디프로,214870,통신 및 방송 장비 제조업,CCTV 카메라
IBKS제3호스팩,225430,금융지원 서비스업,금융지원 서비스
동부스팩3호,226440,금융지원 서비스업,기업인수합병
신영스팩2호,225590,금융지원 서비스업,기업인수합병
엔에이치스팩9호,225570,금융지원 서비스업,기업인수합병
제너셈,217190,특수 목적용 기계 제조업,반도체 후공정 장비
타이거일렉,219130,전자부품 제조업,인쇄회로기판 제조업
인포마크,175140,통신 및 방송 장비 제조업,"웨어러블 디바이스, 모바일 라우터"
유진스팩3호,221200,금융지원 서비스업,기업인수합병
쿠첸,225650,가정용 기기 제조업,전기밥솥
씨아이에스,222080,특수 목적용 기계 제조업,2차전지 제조설비
해마로푸드서비스,220630,음·식료품 및 담배 도매업,"햄버거, 치킨, 식음료유통"
교보5호스팩,223040,금융지원 서비스업,기업인수합병
에이텍티앤,224110,통신 및 방송 장비 제조업,교통카드단말기
웹스,196700,합성고무 및 플라스틱 물질 제조업,"기능성 컴파운드, 건축외장자재"
케이비드림3호스팩,221950,금융지원 서비스업,기업인수목적
파인텍,131760,전자부품 제조업,휴대기기용 BLU(Back Light Unit)
닉스테크,222810,소프트웨어 개발 및 공급업,보안솔루션 개발 외
심텍,222800,전자부품 제조업,반도체용 인쇄회로기판
흥국에프엔비,189980,비알콜음료 및 얼음 제조업,"과일음료(에이드베이스, 스무디, 착즙쥬스 등)"
쎄노텍,222420,기타 비금속 광물제품 제조업,세라믹 비드
칩스앤미디어,094360,소프트웨어 개발 및 공급업,비디오 IP
케이비제8호스팩,222390,금융지원 서비스업,해당사항 없음
아시아경제,127710,"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개서비스업",광고 및 콘텐츠
아이쓰리시스템,214430,전자부품 제조업,"적외선 영상센서, 엑스레이 영상센서"
로지시스,067730,"컴퓨터 프로그래밍, 시스템 통합 및 관리업","전산장비 판매 및 유지보수, VAN기기 대행관리"
케이프이에스스팩,220260,금융지원 서비스업,기업인수 및 합병
파마리서치프로덕트,214450,가정용품 도매업,재생의약품
펩트론,087010,기초 의약물질 및 생물학적 제제 제조업,약효지속성 의약품 및 펩타이드 소재
한강인터트레이드,219550,가정용품 도매업,기업인수합병
한화에이스스팩2호,219860,금융지원 서비스업,기업인수합병
유안타제2호스팩,219960,금융지원 서비스업,기업인수합병
키움스팩3호,218710,금융지원 서비스업,기업인수합병
골든브릿지제3호스팩,219580,금융지원 서비스업,기업인수합병
동운아나텍,094170,반도체 제조업,아날로그 반도체
민앤지,214180,기타 정보 서비스업,휴대폰부가서비스
엔에이치스팩8호,218410,금융지원 서비스업,기업인수합병
유테크,178780,전자부품 제조업,"도광판, 몰드프레임"
에스엔텍,160600,특수 목적용 기계 제조업,"진공합착기, NPS"
켐온,217600,자연과학 및 공학 연구개발업,비임상연구시험대행
코아스템,166480,의약품 제조업,줄기세포 치료제
세미콘라이트,214310,반도체 제조업,LED Chip
베셀,177350,특수 목적용 기계 제조업,디스플레이 제조장비
넵튠,217270,소프트웨어 개발 및 공급업,기업인수합병
하나머스트5호스팩,218150,금융지원 서비스업,기업인수합병
싸이맥스,160980,특수 목적용 기계 제조업,"웨이퍼 이송장치(Cluster Tool, EFEM, LPM 등)"
하이제3호스팩,217500,금융지원 서비스업,기업인수합병
엔에이치스팩7호,217810,금융지원 서비스업,
픽셀플러스,087600,전자부품 제조업,CMOS 이미지센서 및 칩셋
한화ACPC스팩,217620,금융지원 서비스업,기업인수합병
제노포커스,187420,기초 의약물질 및 생물학적 제제 제조업,산업용 효소
미래에셋제3호스팩,215750,금융지원 서비스업,기업인수합병
대우스팩3호,215580,금융지원 서비스업,기업인수및합병
우정비에스씨,215380,자연과학 및 공학 연구개발업,기업인수합병
토박스코리아,215480,"섬유, 의복, 신발 및 가죽제품 소매업",미니멜리사 등
이노인스트루먼트,215790,통신 및 방송 장비 제조업,기업 인수 합병
우리산업,215360,자동차 부품 제조업,ACTUATOR 등
메가스터디교육,215200,일반 교습 학원,"오프라인 학원, 온라인 강의"
유진에이씨피씨스팩2호,215090,금융지원 서비스업,기업인수합병
하나머스트4호스팩,215100,금융지원 서비스업,기업인수합병
디알텍,214680,의료용 기기 제조업,X-ray Detector
유지인트,195990,특수 목적용 기계 제조업,소형 머시닝센터
골프존,215000,소프트웨어 개발 및 공급업,골프시뮬레이터
케이티비스팩2호,214150,금융지원 서비스업,기업인수
SK1호스팩,207930,금융지원 서비스업,기업인수합병
퓨쳐스트림네트웍스,214270,소프트웨어 개발 및 공급업,기업인수합병
포시에스,189690,소프트웨어 개발 및 공급업,기업용 리포팅 소프트웨어 솔루션(OZ-Report 등)
덕산네오룩스,213420,전자부품 제조업,"HTL(정공수송층), HIL(정공주입층), RED HOST"
골든브릿지제2호스팩,206660,금융지원 서비스업,기업인수합병
국일신동,060480,1차 비철금속 제조업,황동봉
바디텍메드,206640,의료용품 및 기타 의약관련제품 제조업,기업인수합병
썸에이지,208640,소프트웨어 개발 및 공급업,기업인수합병
와이제이엠게임즈,193250,전자부품 제조업,휴대폰용 진동모터
화이브라더스코리아,204630,창작 및 예술관련 서비스업,매니지먼트 및 드라마 영화제작업
하이셈,200470,"그외 기타 전문, 과학 및 기술 서비스업",메모리 반도체 테스트
휴메딕스,200670,의약품 제조업,"히알루론산 관절염치료제, 히알루론산 더말필러"
바이오로그디바이스,208710,전자부품 제조업,모바일용 카메라모듈 부품외
서전기전,189860,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",수배전반
아스트,067390,"항공기,우주선 및 부품 제조업",항공기용 부품 제조 및 동체 조립
오킨스전자,080580,전자부품 제조업,반도체 검사용 소켓
지란지교시큐리티,208350,소프트웨어 개발 및 공급업,기업인수합병
하나머스트3호스팩,208870,금융지원 서비스업,기업인수합병
NEW,160550,"영화, 비디오물, 방송프로그램 제작 및 배급업",영화 투자 및 배급
아이티센,124500,"컴퓨터 프로그래밍, 시스템 통합 및 관리업",시스템통합 및 IT서비스
녹십자엠에스,142280,의료용품 및 기타 의약관련제품 제조업,"혈액백, 진단시약, 혈액투석액"
