name,code,roe,pbr,per
계룡건설산업,013580,1.25,0.56,9.79
서원,021050,3.67,0.88,12.73
에스원,012750,3.65,3.04,26.77
태경산업,015890,1.01,0.84,60.36
남해화학,025860,2.08,1.29,36.64
동원금속,018500,3.55,1.88,438.12
서울도시가스,017390,2.45,0.37,18.1
이구산업,025820,2.4,0.79,17.7
나라케이아이씨,007460,2.47,1.18,16.66
에넥스,011090,2.57,2.17,73.87
제이준코스메틱,025620,12.5,4.01,18.58
한국카본,017960,2.35,0.84,17.04
KPX케미칼,025000,1.43,0.71,9.17
KC그린홀딩스,009440,1.73,1,34.28
문배철강,008420,5.04,0.65,9.07
오뚜기,007310,3.15,2.71,20.74
한라,014790,2.41,0.69,21.77
LS산전,010120,1.81,1.52,20.56
대양금속,009190,25.5,7.02,25.11
동원시스템즈,014820,6.4,4.9,22.94
경동나비엔,009450,2.48,2.19,14.13
삼광글라스,005090,3.17,1.06,16.77
대림비앤코,005750,1.38,0.98,18.28
대한해운,005880,3.91,1.34,27.25
메리츠종금증권,008560,4.3,1.13,9.12
수산중공업,017550,1.2,0.98,33.92
롯데케미칼,011170,6.68,1.17,6.06
세아베스틸,001430,1.56,0.55,10.92
화승알앤에이,013520,1.15,0.66,3.96
화승인더스트리,006060,3.56,2.41,12.56
고려산업,002140,2.36,0.83,10.29
대현,016090,2.51,0.87,3.07
부산산업,011390,1.87,0.98,8.26
고려아연,010130,3.03,1.37,13.66
우리들제약,004720,1.72,2.43,24.39
HMC투자증권,001500,1.31,0.45,9.26
무림페이퍼,009200,2.22,0.3,556
금비,008870,2.5,0.79,9.37
원림,005820,1.71,0.56,7.76
서흥,008490,2.19,1.64,15.51
영화금속,012280,1.88,1.17,8.92
유니켐,011330,1.95,2.88,46
대창,012800,2.93,0.61,11.53
일성건설,013360,1.22,0.7,32.44
까뮤이앤씨,013700,1.86,0.92,14.77
광동제약,009290,1.68,0.97,16.64
KISCO홀딩스,001940,1.5,0.3,5.87
한국특수형강,007280,3.56,0.64,4.02
한솔로지스틱스,009180,3.18,0.98,11.86
삼양통상,002170,2.8,0.62,6.76
SK텔레콤,017670,3.71,1.13,12.29
진양폴리우레탄,010640,6.02,1.31,3.31
미창석유공업,003650,1.04,0.62,4.96
삼익THK,004380,5.32,2.31,22.68
서연,007860,1.16,0.43,3.18
현대모비스,012330,2.67,0.84,8.11
KG케미칼,001390,2.06,0.76,12.85
대우부품,009320,2.22,2.15,29.54
현대해상,001450,4.12,1.08,8.39
현대그린푸드,005440,2.36,1.03,18.33
한국전력공사,015760,1.21,0.37,3.79
국도화학,007690,1.29,0.73,12.16
윌비스,008600,2.74,0.86,35.51
대창단조,015230,1.29,0.76,8.49
사조산업,007160,2.67,1.18,15.15
한익스프레스,014130,3.43,1.39,14.51
사조동아원,008040,4.27,1.84,24.93
한솔피엔에스,010420,2.25,1.32,69.03
디와이,013570,2.35,0.59,13.63
한솔케미칼,014680,5.47,2.96,15.24
동원산업,006040,3.64,1.37,14.51
대덕전자,008060,1.5,0.96,22.55
CJ씨푸드,011150,2.58,2.19,22.45
에스엘,005850,3.29,0.79,6.48
영원무역홀딩스,009970,2.03,0.8,11.68
더존비즈온,012510,5.06,5.88,31.82
이건산업,008250,1.85,0.63,159.56
모나리자,012690,2.2,3.11,39.19
유성기업,002920,1.75,0.42,12.81
한일철강,002220,3.16,0.33,10.89
화성산업,002460,2.16,0.58,5.53
동아타이어공업,007340,2.5,0.74,8.21
금강공업,014280,2.68,0.7,6.56
율촌화학,008730,1.75,1.06,16.29
한국쉘석유,002960,6.71,5.52,19.73
부광약품,003000,2.74,4.4,61.83
풍산홀딩스,005810,3.67,0.55,6.86
부국증권,001270,3.11,0.5,11.15
계양전기,012200,1.09,1.06,10.96
한미사이언스,008930,1.03,8.46,704.72
삼진제약,005500,5.06,2.48,15.55
포스코,005490,2.01,0.51,17.2
동국제강,001230,1.86,0.54,19.6
대원전선,006340,1.48,1.18,48.04
삼성증권,016360,1.4,0.81,17.84
삼영무역,002810,2.74,1.1,12.95
금호석유화학,011780,4.17,1.25,33.2
한창제지,009460,4.79,1.2,4.39
넥센,005720,1.86,0.6,4.99
삼성공조,006660,2.06,0.53,13.66
세방전지,004490,1.56,0.64,8.61
참엔지니어링,009310,7.36,3.03,22.75
코스모신소재,005070,3.55,1.94,71.85
신영증권,001720,1.84,0.46,14.37
유진증권,001200,1.98,0.56,8.12
대덕GDS,004130,1.01,0.88,43.6
한신기계공업,011700,1.75,1.9,24.37
가온전선,000500,1.01,0.39,28.21
S-Oil,010950,6.3,1.69,8.99
현대제철,004020,2.07,0.47,9.29
현대비앤지스틸,004560,3.14,0.56,8.82
사조오양,006090,3.41,1.11,12.54
삼화전기,009470,12.86,2.16,61.44
SK증권,001510,2.27,1.38,52.29
아이에스동서,010780,4.1,1.56,6.23
SH에너지화학,002360,2.02,1.72,9.88
대한화섬,003830,1.46,0.33,10.04
OCI,010060,1.07,0.69,9.13
삼일제약,000520,1.14,0.83,53.29
TCC동양,002710,1.13,0.51,3.3
F&F,007700,5.2,1.94,14.52
현대미포조선,010620,1.47,1.08,67.09
동부건설,005960,1.29,1.26,2.41
남선알미늄,008350,5.18,1.21,7.24
한국화장품제조,003350,5.4,2.3,13.15
삼호,001880,6.54,1.18,4.05
현대종합상사,011760,1.59,0.61,33.8
LS,006260,3.89,0.81,13.61
경농,002100,10.4,0.64,20.27
티웨이홀딩스,004870,20.13,5.68,80.98
동방아그로,007590,8.5,0.67,16.82
송원산업,004430,2.33,1.4,11.57
한국석유공업,004090,1.53,0.51,6.05
대원강업,000430,1.14,0.66,7.69
조광피혁,004700,2.61,0.7,12.02
조비,001550,3.02,1.52,60.75
조광페인트,004910,1.44,0.59,7.24
삼천리,004690,3.48,0.36,14.61
성보화학,003080,4.49,0.85,1.81
조흥,002600,4.43,1.64,22.83
사조대림,003960,3.55,0.78,20.84
한신공영,004960,6.57,0.78,7.62
KB손해보험,002550,4.05,0.84,6.18
농심,004370,1.67,1.13,10.7
종근당홀딩스,001630,4.73,0.98,11.97
크라운해태홀딩스,005740,67.29,1.33,11.24
SK케미칼,006120,1.49,1.18,25.8
샘표,007540,2.56,0.53,97.67
GS글로벌,001250,2.82,0.88,11.1
금호산업,002990,10.82,1.17,10.09
삼부토건,001470,1.43,0.42,0.19
삼화콘덴서공업,001820,6.26,3.54,33.67
한화,000880,6,0.94,7.43
영풍,000670,1.93,0.66,11.81
한창,005110,1.03,1.44,14.15
삼화왕관,004450,2.03,0.71,10.66
고려제강,002240,1.11,0.49,16.85
넥센타이어,002350,2.45,1.14,7.93
동화약품,000020,1.36,0.93,9.01
대림산업,000210,2.98,0.71,12.29
LG상사,001120,3.72,0.95,20.37
국제약품,002720,1.1,1.08,100.11
태광산업,003240,1.63,0.36,85.51
동부하이텍,000990,7.93,2.78,11.06
강남제비스코,000860,1.34,0.55,7.35
대신증권,003540,1.38,0.52,15.18
NH투자증권,005940,1.92,0.91,17.88
